as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-05,2026Q1,0.886928725,,,warning,tracking-0.1.0
2026-01-30,2026Q1,4.1567287396,0.886928725,3.2698000146,warning,tracking-0.1.0
2026-02-05,2026Q1,11.139413629,4.1567287396,6.9826848894,warning,tracking-0.1.0
2026-03-02,2026Q1,12.3906029178,11.139413629,1.2511892888,warning,tracking-0.1.0
2026-03-05,2026Q1,6.0589670469,12.3906029178,-6.3316358709,warning,tracking-0.1.0
2026-03-30,2026Q1,3.301647323,6.0589670469,-2.7573197239,warning,tracking-0.1.0
2026-04-05,2026Q2,6.5454797596,3.301647323,3.2438324366,warning,tracking-0.1.0
