as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-15,2026Q3,1.85,,,sample,0.1.0
2026-02-15,2026Q3,2.12,1.85,0.27,sample,0.1.0
2026-03-15,2026Q3,2.2,2.12,0.08,sample,0.1.0
