as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-05,2026Q1,4.0452230449,,,warning,tracking-0.1.0
2026-01-29,2026Q1,2.2384589603,4.0452230449,-1.8067640846,warning,tracking-0.1.0
2026-02-05,2026Q1,12.7124862944,2.2384589603,10.4740273341,warning,tracking-0.1.0
2026-03-01,2026Q1,11.9709752378,12.7124862944,-0.7415110566,warning,tracking-0.1.0
2026-03-05,2026Q1,2.5222714315,11.9709752378,-9.4487038063,warning,tracking-0.1.0
2026-04-05,2026Q2,7.4030200865,2.5222714315,4.880748655,warning,tracking-0.1.0
