as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-15,2026Q3,2.45,,,sample,0.1.0
2026-02-15,2026Q3,2.72,2.45,0.27,sample,0.1.0
2026-03-15,2026Q3,2.8,2.72,0.08,sample,0.1.0
