as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-01,2026Q1,-3.1377283414,,,warning,tracking-0.1.0
2026-01-08,2026Q1,-2.7357223943,-3.1377283414,0.4020059471,warning,tracking-0.1.0
2026-01-15,2026Q1,-3.2953304175,-2.7357223943,-0.5596080232,warning,tracking-0.1.0
2026-02-01,2026Q1,-2.3609336204,-3.2953304175,0.9343967971,warning,tracking-0.1.0
2026-02-08,2026Q1,-3.0263465245,-2.3609336204,-0.6654129041,warning,tracking-0.1.0
2026-02-15,2026Q1,0.7696320825,-3.0263465245,3.795978607,warning,tracking-0.1.0
2026-03-01,2026Q1,-0.6208744328,0.7696320825,-1.3905065153,warning,tracking-0.1.0
2026-03-08,2026Q1,0.0853268771,-0.6208744328,0.7062013099,warning,tracking-0.1.0
2026-04-01,2026Q2,8.7689087251,0.0853268771,8.683581848,warning,tracking-0.1.0
